epoch,train_loss,val_loss
1,0.7605671195296554,0.4571040320017981
2,0.21478243131895322,0.1438000240023174
3,0.09116199406775627,0.05348887519230918
4,0.0582311513187649,0.03030661741892497
5,0.05227880846630704,0.02827554846566821
6,0.05094115028868208,0.028589757661970836
7,0.05027563954974796,0.02677175733778212
8,0.04972577095031738,0.026157392395867243
9,0.049322985851012906,0.02533412736559671
10,0.048724105229248874,0.024659663911849733
11,0.04765327843101891,0.02404661216433086
12,0.047533064633160385,0.023166429428827195
13,0.04663016076560493,0.02349063895997547
14,0.046577662766516745,0.023457824237762936
15,0.04523152157709047,0.02142842799898178
16,0.04465874913218501,0.021075753938584102
17,0.0438600050078498,0.02467602396768237
18,0.0448083236768797,0.021507857337830557
19,0.04287328394325646,0.021224502533201187
20,0.04217968688712822,0.023326665636092897
21,0.042139240213342616,0.021544134806072902
