epoch,train_loss,val_loss
1,0.8782304745519517,0.7572957598973834
2,0.39969015255830753,0.28754879179454984
3,0.18616790599489758,0.11661652156284877
4,0.11890247587913098,0.09322778005448598
5,0.10084277401511525,0.07513725189935594
6,0.07955422026085804,0.05399366409059555
7,0.06832440921110518,0.04773273922148205
8,0.06229843090916629,0.04219276564461844
9,0.05627084911575045,0.042066649785117496
10,0.053766671280517805,0.038538811698792474
11,0.0576075136986259,0.048792131363399445
12,0.05369777758274225,0.037790162222726006
13,0.053980035618823786,0.04660788036528088
14,0.05093077405735713,0.035900570097423735
15,0.0505488082338226,0.04043868988279312
16,0.05019276235732015,0.04155323240492079
17,0.04940168709318687,0.04033389167180137
18,0.049281974898543815,0.04204664533100431
19,0.04878182351174893,0.03631231519911024
