epoch,train_loss,val_loss
1,0.959219733874003,0.7430362701416016
2,0.867686880223545,0.6760071648491753
3,0.7649457785818312,0.5867450502183702
4,0.6191738586366913,0.4386489126417372
5,0.38076452708538666,0.3380636903974745
6,0.29489646907205935,0.18704087204403347
7,0.17246526387738592,0.13040796915690103
8,0.14062565905444416,0.10907898346583049
9,0.11100810527065653,0.08281017674340142
10,0.08375335806681786,0.06843833128611247
11,0.06921841066192698,0.05779793527391222
12,0.058203931208010075,0.04457567466629876
13,0.04878644346271032,0.03811571995417277
14,0.04418241552272697,0.03292804956436157
15,0.039296473617906925,0.029879874653286405
16,0.036341634337548855,0.025929556952582464
17,0.03343236602750825,0.02342733906375037
18,0.03130384709364102,0.021936335497432284
19,0.03004065769966002,0.020873702234692044
20,0.029066264502888108,0.020356487896707322
21,0.028653131269010496,0.020172922147644892
22,0.028192643812041222,0.02002511587407854
23,0.02766490989813098,0.019863285952144198
24,0.027355120321850716,0.019610009259647794
25,0.026984615642347453,0.019437957141134474
26,0.026658425015615828,0.019222499595748052
27,0.026313423167592213,0.019034561183717515
28,0.026030771848228242,0.018833183579974704
29,0.025831023162161862,0.01877754761113061
30,0.025752288312363772,0.018495056364271376
31,0.025408158400728378,0.018392678764131334
32,0.025152457073146915,0.018423861927456327
33,0.025012168320424764,0.01814475158850352
34,0.02467659791862523,0.01807871957619985
35,0.02446591069944847,0.017888774474461872
36,0.024417545278499157,0.017883461382653978
37,0.024144711340835064,0.017620861530303955
38,0.023961376881709805,0.0175895094871521
39,0.02384320177413799,0.017414063215255737
40,0.02383798965609368,0.017478795515166387
41,0.0238705460028148,0.017306804656982422
42,0.023588520831164018,0.017369210720062256
43,0.023414102095512698,0.01731542083952162
44,0.02321924696917887,0.017213621073298983
45,0.023058607438464225,0.016932941145367093
46,0.022849136296613715,0.016745616992314655
47,0.02283177467316021,0.016633146338992648
48,0.022699277250119197,0.016900741391711764
49,0.02251056218404829,0.016884315345022414
50,0.022678572925980443,0.016877318421999615
