epoch,train_loss,val_loss
1,0.750034737515378,0.42062135726686506
2,0.22162674425600526,0.12053818172878689
3,0.07966452300011574,0.03980527605329241
4,0.04508958761398499,0.024318125512864854
5,0.03801414146795645,0.02083578942314027
6,0.035858511029779015,0.020166837979876805
7,0.03463822728520757,0.018724668593633743
8,0.033561255122806215,0.01852030224270291
9,0.03293508613431776,0.0180219638915289
10,0.03239472859256618,0.017790716791909838
11,0.0323750396390577,0.017412340830242824
12,0.0319341862344885,0.017350329293145075
13,0.03118782626973974,0.016864689569624645
14,0.03089550468656752,0.017144405652606297
15,0.030780985190703703,0.01590226377759661
16,0.03015030951829286,0.01564842178708031
17,0.029793414983663474,0.015979178368099152
18,0.029324151911177078,0.015032554429674905
19,0.028850923160890916,0.015350061749655104
20,0.028519478377637204,0.016730227167644197
21,0.028627253598995036,0.01487675356486487
22,0.028723913628059823,0.013578283408331492
23,0.027343230473028647,0.013896349876646012
24,0.027402256612663156,0.013558618606082977
25,0.027542722833765163,0.015425999959309896
26,0.02747001715966531,0.014255781022329179
27,0.027176061550060193,0.013956084137871153
28,0.027405739367545187,0.013676202486431787
29,0.026828525571135787,0.013348358018057687
30,0.026808417416191672,0.014016622588748024
31,0.02668759387892646,0.013763755086868529
32,0.026581250332497263,0.013642167288159568
33,0.02653829006103424,0.014044869513738723
34,0.026772347298470344,0.013761684061988952
