epoch,train_loss,val_loss
1,1.0199918643927868,0.8221093283759223
2,0.9049078078917515,0.7099632157219781
3,0.7786250901810917,0.5673135121663412
4,0.6096898221675261,0.3533212078942193
5,0.3867551855466984,0.2295791572994656
6,0.2379668469046369,0.16568305757310656
7,0.17201276473057123,0.13798836867014566
8,0.12011391044030954,0.08241844839519924
9,0.0881470329599616,0.062016844749450684
10,0.06705075097672733,0.04577637049886915
11,0.04954782181223969,0.03482582834031847
12,0.04017573599646121,0.027636753188239202
13,0.035719905646494875,0.02417942550447252
14,0.03370695032271338,0.02276553213596344
15,0.0329226047306517,0.021950703528192308
16,0.03182090565930178,0.021693921751446195
17,0.03100381878974997,0.021779177917374506
18,0.03078613920068299,0.021358089314566717
19,0.030141629140686105,0.020918081204096477
20,0.029517361618302488,0.021109448538886175
21,0.029355173769556445,0.020848620269033644
22,0.02874758936188839,0.021297535962528653
23,0.028888841309113268,0.020905004607306585
24,0.02857209203971757,0.021005953351656597
25,0.028566721780800525,0.019900615016619366
26,0.027930971832922948,0.020527126060591802
27,0.02781245075626138,0.019872188568115234
28,0.027691573904896225,0.0193296041753557
29,0.027289718481493586,0.018783978290028043
30,0.026837474884994238,0.018548081318537395
31,0.02652954616020491,0.0183029356929991
32,0.026023269274536475,0.018169807063208684
33,0.02594682385708079,0.018080203069580927
34,0.025746503557411978,0.0177986654970381
35,0.0254301645413593,0.017594006326463487
36,0.02524535882252234,0.017408824629253812
37,0.025012459559940997,0.017973914742469788
38,0.02513715155698635,0.017202850845124986
39,0.02473202186786098,0.017500961820284527
40,0.024679840231935184,0.016986055506600276
41,0.024227877664897177,0.017133068707254197
42,0.02418874751454518,0.017600016461478338
43,0.024258385791822715,0.016982547110981412
44,0.023710048516039497,0.016686206062634785
45,0.02391767230482749,0.016640858517752752
46,0.02366311287070498,0.016506792770491704
47,0.02341248628533917,0.01656314730644226
48,0.023237597956149665,0.01603843437300788
49,0.022908628630785296,0.01620834403567844
50,0.022817217112507348,0.01600040660964118
51,0.022644146495027308,0.015878395901785955
52,0.022593131702807214,0.01568378508090973
53,0.02241679189013846,0.0157854159673055
54,0.02247940522423129,0.01658599078655243
55,0.022587082544226707,0.01596302290757497
56,0.022186200939302826,0.015945858425564237
57,0.022105833998432866,0.01572885447078281
